nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros
1,"Ehhh... Hola, soy yo... Gobey... El golem. Ya he venido aquí. Prometo que no- yo no soy un c-cambiaformas...",2,,,,1,1,0
2,"Sí, Gobey. Se quien eres. Tiendo a recordar a mis clientes, jeje.",3,,,,1,0,1
3,"Ah... Qué verguenza... Olvida que dije eso. P-porfavor, comencemos.",4,,,,2,1,0
4,"No podemos comenzar si no me dice el motivo de su visita. Vamos, Gobey, ya conoces el proceso.",5,,,,3,0,1
5,"Cla-claro. Es la presentación de mi libro: ""Las catacumbas de Merlín"". Estoy muy orgulloso ha decir verdad.",6,,,,4,1,0
6,"¡Wow! Fascinante. Todos van a verlo estrenar su libro, debe ser muy emocionante.",7,,,,5,0,1
7,"Por el contrario, señor Liam. Estoy t-t-totalmente aterrado. Las palabras y los discursos emotivos no- no son lo mío.",8,,,,6,1,0
8,"Cuesta créerlo. He leido sus libros anteriores, y son bastante palabrosos.",9,,,,7,0,1
9,Es más fácil cuando te escondes detrás de las páginas... Aquí estaré solo contra el mundo.,,10,11,12,8,1,0
10,¿Crees que tu libro será mal recibido?,13,,,,9,0,1
11,¿Crees que se reirán de tí?,14,,,,9,0,1
12,"Ah, el pánico escénico. Comprendo lo que dices.",15,,,,9,0,1
13,"¿N-No lo creo? Los c-críticos disfrutan mis párrafos, aunque... Hm...",16,,,,10,1,0
14,N-no lo pensé de esa f-f-forma... Solo quiero... <b>D-d-debo apelar a los gustos de mi n-nueva audiencia. Eso dicen mis agentes...</b>,17,,,,11,1,0
15,"Sí, sí, pero me sentiría mucho mejor si logro hacer la combinación vestuaria exacta.",18,,,,12,1,0
16,"No se preocupe, yo puedo ayudarlo en lo que sea que necesite.",19,,,,13,0,1
17,"Exacto, exacto.",19,,,,14,0,1
18,"No lo se, no creo que sea tan estricto.",19,,,,15,0,1
19,"En fin, digame Gobey, ¿Qué le gusta a usted?",20,,,,9,0,1
20,"Hm... <b>La formalidad, la ropa de hombre responsable...</b> Pero nunca la uso realmente...",,21,22,23,19,1,0
21,¡Entonces vamos con eso!,24,,,,20,0,1
22,Necesitas un nuevo look.,25,,,,20,0,1
23,¿Y por qué no la utilizas?,26,,,,20,0,1
24,"¿Eh? N-no, no. Debería verme más como un <b>golem tradicional... Con musgo y flores... Supuestamente...</b>",27,,,,21,1,0
25,"Sí... ¿Q-Qué sugieres, entonces?",,28,29,,22,1,0
26,"M-mis agentes sugieren otras cosas y al fin de al cabo, ellos saben de marketing.",30,,,,23,1,0
27,Lo más importante de las presentaciones públicas es tu propia comodidad.,31,,,,24,0,1
28,"Tatuajes, colores, pelo divertido. Muéstrales tu lado excéntrico.",32,,,,25,0,1
29,"Algo formal, pero con una pizca de magia.",33,,,,25,0,1
30,"Tiene sentido. En fin, si quieres verte mejor, viniste al lugar indicado.",34,,,,26,0,1
31,"Oh, diablos. Nunca m-me mostré de ese modo, ¿Qué- qué pensarán?",35,,,,27,1,0
32,A-Ah... Okay... Uhmmm... Creo que confío en tí...?,36,,,,28,1,0
33,"Modesto, p-pero quizás es lo que necesito. Confío en su criterio...",37,,,,29,1,0
34,Por supuesto...,40,,,,30,1,0
35,"Si USTED cree que se ve bien, los demás pensarán lo mismo. Tenga fé en sí mismo.",38,,,,31,0,1
36,Manos a la obra.,40,,,,32,0,1
37,Hace bien.,40,,,,33,0,1
38,"...Tiene razón. Años de literatura profunda, y nunca apunté el espejo hacia mí mismo.",39,,,,35,1,0
39,"Esa es la actitud. Vamos a estilizarlo, exactamente como usted necesita.",40,,,,38,0,1
40,,,,,,40,1,0
