nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros
1,"Aah, bonjour mon ami!~ ♡ ",2,,,,1,1,0
2,"¿He llegado en punto a mi turno, no es cierto? ",3,,,,1,1,0
3,"¡Debes de estar sorprendido por mi puntualidad, pero nunca esperes menos del mismisimo Darel Crescent!",4,,,,2,1,0
4,"Me imagino que ya has leído las noticias sobre mí. Hasta estuve en el show de Tito, ¿me viste?",5,,,,3,1,0
5,Mi fama está creciendo rápidamente y necesito aprovechar este momento.,6,,,,4,1,0
6,Pronto tendré una audición para una obra teatral y es muy importante para mí conseguir el rol que quiero.,7,,,,5,1,0
7,"¿Y quién más será la persona indicada para esta tarea más que vous, mon ami?~ ♡ ",,8,9,10,6,1,0
8,¿De qué género es la obra?,11,,,,7,0,1
9,¿Qué rol quieres conseguir?,12,,,,7,0,1
10,¿Usted estuvo en el show de Tito?,13,,,,7,0,1
11,"Se trata de una obra de comedia dramática, ¡mi género favorito!",37,,,,8,1,0
12,¡El rol principal por supuesto! ¿No te parece que nací para el gran reflector?,14,,,,9,1,0
13,"Si, ¿no me vio...? Bueno no importa, estoy seguro que me verá más seguido a partir de ahora.",18,,,,10,1,0
14,"Se trata de un personaje algo... inusual, quizá hasta algo polémico.",15,,,,12,1,0
15,"Es sobre un cambiaformas ¡Pero no cualquier cambiaformas, querido!",16,,,,14,1,0
16,"Uno distinto, autentico, ¡Único! ehm...",17,,,,15,1,0
17,Es decir un cambiaformas que viene a demostrarnos que no todo es como dicen los conspiranoicos...,18,,,,16,1,0
18,"En fin, ¡Imagino que cuando salga la obra vendrás a verme!, ¿Verdad, mon ami?~ ♡ ",,19,20,21,17,1,0
19,Todo depende de que tan ocupado esté.,22,,,,18,0,1
20,¡Sin dudarlo! No me lo perdería por nada del mundo.,23,,,,18,0,1
21,"Mmm.. No estoy seguro, no me gusta mucho el teatro...",25,,,,18,0,1
22,¡Sacrebleu...! No sabía que tu trabajo podía llegar a ser tan esclavizador...,27,,,,19,1,0
23,"¡Jujuuuuu!, ¡Daré lo mejor de mi!, ¡Llorarás tanto de la risa que tendrán que llamar a los médicos!",24,,,,20,1,0
24,"Bueno... Tal vez no tanto, no sería apropiado que por culpa de eso te pierdas el resto de la obra.",27,,,,23,1,0
25,"¡¿Cómo que no?!, ¡Deberias darle una oportunidad a esta historia de vida! Como se nota que... ",26,,,,21,1,0
26,Olvidalo.,27,,,,25,1,0
27,"De todas formas, como sabrás los elfos nos caracterizamos por la tristeza y el drama.",28,,,,,1,0
28,"Pero... yo soy un poco distinto, así que quiero un estilo que me haga más autentico ¡Único!",29,,,,,1,0
29,"¿Pero como puedo ser único, si no termino de entender quien soy?",,30,31,32,,1,0
30,Lo mejor es adaptarse a lo que al resto le gusta,33,,,,27,0,1
31,Tal vez deberías dejar de temer de mostrar tu verdadero tú,34,,,,27,0,1
32,¡Confia en mis habilidades!,36,,,,27,0,1
33,...,40,,,,30,1,0
34,"""Tienes razón, mon ami! Si quiero ser auténtico y único sin caer en el drama élfico, ¡debo destacar mis facciones y mostrar mi lado noble! Necesito:""",35,,,,31,1,0
35,"""Un Rostro muy iluminado para el gran reflector, y un Pelo que no me cubra la cara.""",40,,,,31,1,0
36,"¡Oh oui oui oui! ¡Nunca dudaria de ti, mon ami! ",40,,,,32,1,0
37,"Asi que necesito lucir la parte, pero no te dejes llevar por lo ""dramático"".",38,,,,11,1,0
38,"Nada de oscuros, ¡necesito brillar!",39,,,,37,1,0
39,Y absolutamente nada de verde. Detesto como queda con mi complexión... Sin ofender.,18,,,,38,1,0
40,,,,,,,,
