nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros
1,"Aah, bonjour mon ami!~ ♡ ",2,,,,1,,
2,"¿He llegado en punto a mi turno, no es cierto? ",3,,,,1,,
3,"¡Debes de estar sorprendido por mi puntualidad, pero nunca esperes menos del mismisimo Darel Crescent!",4,,,,2,,
4,"Me imagino que ya has leído las noticias sobre mí. Hasta estuve en el show de Tito, ¿me viste?",5,,,,3,,
5,Mi fama está creciendo rápidamente y necesito aprovechar este momento.,6,,,,4,,
6,Pronto tendré una audición para una obra teatral y es muy importante para mí conseguir el rol que quiero.,7,,,,5,,
7,"¿Y quién más será la persona indicada para esta tarea más que vous, mon ami?~ ♡ ",,8,9,10,6,,
8,¿De qué género es la obra?,11,,,,7,,
9,¿Qué rol quieres conseguir?,12,,,,7,,
10,¿Usted estuvo en el show de Tito?,13,,,,7,,
11,"Se trata de una obra de comedia dramática, ¡mi género favorito!",37,,,,8,,
12,¡El rol principal por supuesto! ¿No te parece que nací para el gran reflector?,14,,,,9,,
13,"Si, ¿no me vio...? Bueno no importa, estoy seguro que me verá más seguido a partir de ahora.",18,,,,10,,
14,"Se trata de un personaje algo... inusual, quizá hasta algo polémico.",15,,,,12,,
15,"Es sobre un cambiaformas ¡Pero no cualquier cambiaformas, querido!",16,,,,14,,
16,"Uno distinto, autentico, ¡Único! ehm...",17,,,,15,,
17, Es decir un cambiaformas que viene a demostrarnos que no todo es como dicen los conspiranoicos...,18,,,,16,,
18,"En fin, ¡Imagino que cuando salga la obra vendrás a verme!, ¿Verdad, mon ami?~ ♡ ",,19,20,21,17,,
19,"Puede que si, puede que no, todo depende de que tan ocupado esté.",22,,,,18,,
20,¡Sin dudarlo! Tus actuaciones no me las perderia por nada del mundo.,23,,,,18,,
21,"Mmm.. No estoy seguro, no me gusta mucho el teatro...",25,,,,18,,
22,¡Sacrebleu...! No sabía que tu trabajo podía llegar a ser tan esclavizador...,27,,,,19,,
23,"¡Jujuuuuu!, ¡Daré lo mejor de mi!, ¡Llorarás tanto de la risa que tendrán que llamar a los médicos!",24,,,,20,,
24,"Bueno... Tal vez no tanto, no sería apropiado que por culpa de eso te pierdas el resto de la obra.",27,,,,23,,
25,"¡¿Cómo que no?!, ¡Deberias darle una oportunidad a esta historia de vida! Como se nota que... ",26,,,,21,,
26,Olvidalo.,27,,,,25,,
27,"De todas formas, como sabrás los elfos nos caracterizamos por la tristeza y el drama.",28,,,,,,
28,"Pero... yo soy un poco distinto, así que quiero un estilo que me haga más autentico ¡Único!",29,,,,,,
29,"¿Pero como puedo ser único, si no termino de entender quien soy?",,30,31,32,,,
30,A veces... lo mejor es seguir la corriente y adaptarse a lo que al resto le gusta,33,,,,27,,
31,"Yo creo que en el fondo sabes quien en verdad eres, solo tienes que dejarle salir",34,,,,27,,
32,¡Confia en mis habilidades!,36,,,,27,,
33,...,40,,,,30,,
34,"Puede que tengas razón, mon ami... Aun que si hay algo de lo que estoy seguro...",35,,,,31,,
35,¡Es que hacer feliz a la gente es lo que más me llena el corazón!,40,,,,31,,
36,"¡Oh oui oui oui! ¡Nunca dudaria de ti, mon ami! ",40,,,,32,,
37,"Asi que necesito lucir la parte, pero no te dejes llevar por lo ""dramático"".",38,,,,11,,
38,"Nada de oscuros, ¡necesito brillar!",39,,,,37,,
39,Y absolutamente nada de verde. Detesto como queda con mi complexión... Sin ofender.,18,,,,38,,
40,,,,,,,,
