nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros
1,"Liam, Liam, Liam, está ¡TODO MAL!",2,,,,1,1,0
2,"Buenos días a tí también, Maddy. ¿Que paso?",3,,,,1,0,1
3,Ser una hechicera no funcionó. Solo conseguí 14 mil likes en mi TinkTok.,4,,,,2,1,0
4,Fue el estilo que pediste.,5,,,,3,0,1
5,"No creo saber lo que quiero. Soy influencer, no estilista.",6,,,,4,1,0
6,Entonces... ¿Qué quieres?,7,,,,5,0,1
7,"Un look súper llamativo, que detenga el scroll.",8,,,,6,1,0
8,¿Y por qué querés ese estilo?,9,,,,7,0,1
9,Duh... es lo que vende.,,10,11,,8,1,0
10,"No veo nada malo, es lo que necesitas.",12,,,,9,0,1
11,"La semana pasada dijiste lo mismo, y no te gusto.",13,,,,9,0,1
12,"Sí, lo dije. Empecemos ya.",14,,,,10,1,0
13,Pero esta vez estoy en lo cierto. Creo. Ví a Janet Harp tener 100k likes con esto.,15,,,,11,1,0
14,Voy a necesitar algunos detalles más.,16,,,,12,0,1
15,"Si querés mi criterio, contame qué te apasiona.",17,,,,13,0,1
16,"Pelo colorido, brillo, ropa juvenil…",18,,,,14,1,0
17,Mmm… también pensé algo más teatral.,,19,20,,15,1,0
18,"Quizás algo no tan moderno… bah, olvída eso.",21,,,,16,1,0
19,"¿Teatral? Eres una influencer, Maddy.",22,,,,17,0,1
20,¿Y por qué querés eso?,23,,,,17,0,1
21,"Oookey, creo que entiendo: tendencia, juvenil, llamativo.",24,,,,18,0,1
22,"Pero dijiste que… ay, Liam, nunca te entiendo.",25,,,,19,1,0
23,¡No! Lo decía porque me gusta. Sería divertido.,26,,,,20,1,0
24,Ajá…,27,,,,21,1,0
25,"Necesitás apelar a tu público, ¿no?",28,,,,22,0,1
26,¿Y no los va a espantar?,29,,,,23,0,1
27,Manos a la obra.,40,,,,24,0,1
28,"Supongo. Hagamos algo llamativo, emocionante, rebelde.",30,,,,25,1,0
29,Por eso no quiero… pero sería divertido.,,31,32,,26,1,0
30,Seguro les va a gustar. ¡Vamos!,40,,,,28,0,1
31,"Si espanta a tus fans, mejor no hacerlo.",33,,,,29,0,1
32,Por eso justamente deberías hacerlo.,34,,,,29,0,1
33,"Sí, sí. Tú eres el ""experto"" después de todo.",35,,,,31,1,0
34,¡¿QUÉ?!,36,,,,32,1,0
35,Lo dijiste vos. Empecemos.,40,,,,33,0,1
36,"Si te gusta lo dramático y teatral, hacelo.",37,,,,34,0,1
37,"Cuando disfrutás lo que hacés, la gente lo nota.",38,,,,36,0,1
38,…Wow. Nunca lo pensé así. Nunca hice algo así en TinkTok.,39,,,,37,1,0
39,Pero siempre hay una primera vez. ¡Dame tu mejor look antes de arrepentirme! Jajaja.,40,,,,38,1,0
40,,,,,,40,,
