nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros
1,Golden Beauty ha tenido resultados sin precedentes esta semana de la Alianza. Nadie en toda Biothelia lo puede creer.,2,,,,2,1,0
2,"Pese a ser un local manejado por una sola persona, es la parada número 1 de criaturas en busca de nuevos estilos.",3,,,,2,1,0
3,"El dueño, Liam, tiene una capacidad nata de encontrar lo que cada uno de sus clientes necesita.",4,,,,3,1,0
4,"y sus clientes se han dado cuenta. Ahora tiene cientos por semana, un record en la industria del estilizado.",5,,,,4,1,0
5,"Sin embargo, Liam no piensa extenderse a nuevas cadenas. Aquí sus propias palabras:",6,,,,5,1,0
6,"""Amo Golden Beauty, amo a mis clientes, y amo estilizar. Sean driadas, brujas, esqueletos, duendes o dragones.""",7,,,,6,1,0
7,"""Debo darle a cada uno de ellos todo de mí mismo, aun si eso significa mantener un solo local.""",8,,,,7,1,0
8,"""De todos modos, la riqueza es poco novedosa en Biothelia. ¿Pero la belleza real? Eso SÍ que merece la pena.""",9,,,,8,1,0
9,"La situación reciente de los cambiaformas ha puesto una traba en muchos establecimientos, pero Liam no parece perturbado.",10,,,,9,1,0
10,"""Sería algo hipócrita de mi parte criticar a alguien por querer cambiar de forma, ¿No lo cree?""",11,,,,10,1,0
11,"""Tengan la apariencia que tengan o no tengan, todos son bienvenidos aquí.""",12,,,,11,1,0
12,"Muy bellas palabras, quizás todos debamos aprender algo de Liam y Golden Beauty.",13,,,,12,1,0
13,Ha sido un placer reportar para ustedes en este Semana de la alianza. Espero que disfruten este mágico día,40,,,,13,1,0
14,,,,,,,,
15,,,,,,,,
16,,,,,,,,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,,,,,
26,,,,,,,,
27,,,,,,,,
28,,,,,,,,
29,,,,,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
64,final,,,,,,,
