nodo,Texto,next,opcion1,opcion2,opcion3,back,personaje,nosotros
1,"Hmmph... buenos días, Liam.",2,,,,1,1,0
2,"Buenos días, señor Ramírez. Pensé que ya no volvería.",3,,,,1,0,1
3,"Suelo usar a mis empleados personales, sí.",4,,,,2,1,0
4,"Entonces, ¿Qué lo trae por aquí, si ya tiene sus empleados?",5,,,,3,0,1
5,Tengo una conferencia importante con mi equipo de R&D.,41,,,,4,1,0
6,"¿Es malo dando conferencias, señor?",7,,,,5,0,1
7,Para nada. Es mi equipo el ineficiente.,42,,,,6,1,0
8,"Suenan algo incompetentes, sí. Qué mala suerte...",11,,,,7,0,1
9,Quizás el ambiente de oficina es negativo. Puede ser algo opresivo.,12,,,,7,0,1
10,¿Es posible que usted sea el motivo?,13,,,,7,0,1
11,Tal vez… últimamente están muy sensibles con todo esto de los cambiaformas.,14,,,,8,1,0
12,"A mí la oficina me parece impecable: blanca, ordenada y tranquila.",15,,,,9,1,0
13,¿Acaso está insinuando cierta mediocridad en mi parte?,16,,,,10,1,0
14,"Claro, comprendo. Entonces, ¿Un estilo super duper serio y de empresario responsable?",17,,,,11,0,1
15,"Pero también podría verse un poco más cálido, ayudaría al clima laboral.",18,,,,12,0,1
16,Quizás ahora resulto intimidante para ellos…,19,,,,13,0,1
17,Exacto. Y es el mismo estilo que uso siempre. ¿Qué opina usted?,,20,21,22,14,1,0
18,"Elevar sus espíritus para motivar su desempeño. Suena deceptivamente infantil, pero dime, ¿Qué sugieres?",,20,21,22,15,1,0
19,"¿De verdad piensan así? Hmm… está bien, ¿qué sugiere?",,20,21,22,16,1,0
20,"Algo elegante, profesional, pero más accesible.",23,,,,7,0,1
21,Un detalle un poco mas rebelde podría romper el hielo.,24,,,,7,0,1
22,Sus empleados le tienen miedo. Debería verse más agradable.,25,,,,7,0,1
23,"Mis asistentes dicen lo mismo. Ya que vine, confío en su magia.",26,,,,20,1,0
24,"¿Estilo rock? ¿Usted está loco? Puedo querer un cambio, pero no exageremos.",27,,,,21,1,0
25,Grrr... ¿Es así como me ven? ¿Como alguien duro y malhumorado?,,30,31,,22,1,0
26,Veré qué puedo hacer.,40,,,,23,0,1
27,"Oh vamos señor Ramirez. Dijo que quería un cambio. Serán cosas sutiles, no se preocupe.",28,,,,24,0,1
28,Más le vale. Solo espero seguir viéndome respetable.,29,,,,27,1,0
29,...Lo escucho fuerte y claro.,40,,,,28,0,1
30,"Sí, da mucho miedo. Incluso yo ahora me siento algo intimidado.",32,,,,25,0,1
31,"Solo son unos retoques, nada drástico.",33,,,,25,0,1
32,Aprecio su honestidad. Casi nadie me habla con franqueza.,34,,,,30,1,0
33,¡Bah! No quiero mentiras. Necesito un cambio real.,35,,,,31,1,0
34,"No se preocupe, quedará muy conforme. ¿Algún detalle en particular?",37,,,,32,0,1
35,"Como diga, comencemos.",36,,,,33,0,1
36,Por favor.,40,,,,35,1,0
37,Quizás algo en blanco… siento que el negro ya no me representa.,38,,,,34,1,0
38,"Entendido. En fin, manos a la obra.",39,,,,37,0,1
39,Sí... sí... gracias por escuchar.,40,,,,38,1,0
40,,,,,,40,,
41,El problema es que noto cierta ineficiencia.,6,,,,5,1,0
42," Cada vez que hablo, se congelan y proponen barbaridades. No sé que les pasa.",,8,9,10,7,1,0
